"KO","name","definition","category"
"K23356","HTH-type transcriptional regulator, sugar sensing transcriptional regulator",NA,"Core"
"K23535","general nucleoside transport system permease protein",NA,"Core"
"K23536","general nucleoside transport system permease protein",NA,"Core"
"K23537","general nucleoside transport system ATP-binding protein",NA,"Core"
"K23997","ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]",NA,"Core"
"K24129","glutaredoxin-dependent peroxiredoxin [EC:1.11.1.25]",NA,"Core"
"K24131","protease PrsW [EC:3.4.-.-]",NA,"Core"
"K24447","archaeosortase A [EC:3.4.22.-]",NA,"Core"
"K24450","DNA-binding protein",NA,"Core"
"K24451","modification methylase",NA,"Core"
"K25026","glucokinase [EC:2.7.1.2]",NA,"Core"
"K25034","cobalamin transport system substrate-binding protein",NA,"Core"
"K26208","alpha-D-ribose-1-phosphate 5-kinase (ATP) [EC:2.7.1.239]",NA,"Core"
"K26272","D-glutamate N-acetyltransferase [EC:2.3.1.312]",NA,"Core"
"K26599","HTH-type transcriptional regulator, activator of D-glucose/D-fructose catabolism",NA,"Core"
"K26937","MATE family, multidrug efflux pump",NA,"Core"
"K27802","aconitate hydratase A / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]",NA,"Core"
"K28366","rhomboid family protease [EC:3.4.21.105]",NA,"Core"
"K28485","intramembrane aspartyl peptidase",NA,"Core"
"K28565","archaeal glyceryl transferase [EC:2.5.1.-]",NA,"Core"
"K28566","archaeal glyceryl transferase [EC:2.5.1.-]",NA,"Core"
