"KO","name","definition"
"K19813","glucose dehydrogenase [EC:1.1.5.9]",NA
"K06957","tRNA(Met) cytidine acetyltransferase [EC:2.3.1.193]",NA
"K00549","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]",NA
"K22227","AdoMet-dependent heme synthase [EC:1.3.98.6]",NA
"K01712","urocanate hydratase [EC:4.2.1.49]",NA
"K01736","chorismate synthase [EC:4.2.3.5]",NA
"K00800","3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]",NA
"K03787","5'/3'-nucleotidase [EC:3.1.3.5 3.1.3.6]",NA
"K00891","shikimate kinase [EC:2.7.1.71]",NA
"K03724","ATP-dependent helicase Lhr and Lhr-like helicase [EC:5.6.2.6 5.6.2.4]",NA
"K03637","cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]",NA
"K03151","tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]",NA
"K04799","flap endonuclease-1 [EC:3.1.-.-]",NA
"K00013","histidinol dehydrogenase [EC:1.1.1.23]",NA
"K04720","threonine-phosphate decarboxylase [EC:4.1.1.81]",NA
"K08260","adenosylcobinamide hydrolase [EC:3.5.1.90]",NA
"K00282","glycine cleavage system P protein (glycine dehydrogenase) subunit 1 [EC:1.4.4.2]",NA
"K02006","cobalt/nickel transport system ATP-binding protein",NA
"K10726","replicative DNA helicase Mcm [EC:5.6.2.3]",NA
"K03523","biotin transport system substrate-specific component",NA
"K01749","hydroxymethylbilane synthase [EC:2.5.1.61]",NA
"K02303","uroporphyrin-III C-methyltransferase [EC:2.1.1.107]",NA
"K03726","ATP-dependent DNA helicase [EC:5.6.2.4]",NA
"K03703","excinuclease ABC subunit C",NA
"K02063","thiamine transport system permease protein",NA
"K26284","S-layer glycoprotein",NA
"K01756","adenylosuccinate lyase [EC:4.3.2.2]",NA
"K01953","asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]",NA
"K01546","potassium-transporting ATPase potassium-binding subunit",NA
"K01589","5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]",NA
"K23997","ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]",NA
"K01719","uroporphyrinogen-III synthase [EC:4.2.1.75]",NA
"K04798","prefoldin beta subunit",NA
"K02893","large subunit ribosomal protein L23Ae",NA
"K03940","NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:7.1.1.2]",NA
"K03941","NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:7.1.1.2]",NA
"K03056","DNA-directed RNA polymerase subunit L [EC:2.7.7.6]",NA
"K03232","elongation factor 1-beta",NA
"K12372","dipeptide transport system ATP-binding protein",NA
"K06875","programmed cell death protein 5",NA
"K28138","alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]",NA
"K04093","chorismate mutase [EC:5.4.99.5]",NA
"K01996","branched-chain amino acid transport system ATP-binding protein",NA
"K03055","DNA-directed RNA polymerase subunit K [EC:2.7.7.6]",NA
"K00053","ketol-acid reductoisomerase [EC:1.1.1.86]",NA
"K03433","proteasome beta subunit [EC:3.4.25.1]",NA
"K01684","galactonate dehydratase [EC:4.2.1.6]",NA
"K03053","DNA-directed RNA polymerase subunit H [EC:2.7.7.6]",NA
"K11741","quaternary ammonium compound-resistance protein SugE",NA
"K01734","methylglyoxal synthase [EC:4.2.3.3]",NA
"K00681","gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]",NA
"K19333","IclR family transcriptional regulator, KDG regulon repressor",NA
"K19340","Cu-processing system ATP-binding protein",NA
"K00366","ferredoxin-nitrite reductase [EC:1.7.7.1]",NA
"K09739","dihydroneopterin aldolase [EC:4.1.2.25]",NA
"K00931","glutamate 5-kinase [EC:2.7.2.11]",NA
"K07005","uncharacterized protein",NA
"K03320","ammonium transporter, Amt family",NA
"K09735","GTP-dependent dephospho-CoA kinase [EC:2.7.1.237]",NA
"K22881","poly[(R)-3-hydroxyalkanoate] polymerase subunit PhaE",NA
"K00661","maltose O-acetyltransferase [EC:2.3.1.79]",NA
"K11593","eukaryotic translation initiation factor 2C",NA
"K07124","uncharacterized protein",NA
"K01975","RNA 2',3'-cyclic 3'-phosphodiesterase [EC:3.1.4.58]",NA
"K14393","cation/acetate symporter",NA
"K06984","beta-ribofuranosylaminobenzene 5'-phosphate synthase [EC:2.4.2.54]",NA
"K03322","manganese transport protein",NA
"K03969","phage shock protein A",NA
"K02018","molybdate transport system permease protein",NA
"K08679","UDP-glucuronate 4-epimerase [EC:5.1.3.6]",NA
"K09823","Fur family transcriptional regulator, zinc uptake regulator",NA
"K02259","heme a synthase [EC:1.17.99.9]",NA
"K17317","glucose/mannose transport system permease protein",NA
"K04561","nitric oxide reductase subunit B [EC:1.7.2.5]",NA
"K02956","small subunit ribosomal protein S15",NA
"K05308","gluconate/galactonate dehydratase [EC:4.2.1.140]",NA
"K10237","trehalose/maltose transport system permease protein",NA
"K01935","dethiobiotin synthetase [EC:6.3.3.3]",NA
"K01012","biotin synthase [EC:2.8.1.6]",NA
"K00797","spermidine synthase [EC:2.5.1.16]",NA
"K01995","branched-chain amino acid transport system ATP-binding protein",NA
"K06999","phospholipase/carboxylesterase",NA
"K00371","nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]",NA
"K01653","acetolactate synthase I/III small subunit [EC:2.2.1.6]",NA
"K03436","DeoR family transcriptional regulator, fructose operon transcriptional repressor",NA
"K01041","glutaryl-CoA transferase [EC:2.8.3.-]",NA
"K09122","uncharacterized protein",NA
"K00215","4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]",NA
"K07767","katanin p60 ATPase-containing subunit A1 [EC:5.6.1.1]",NA
"K01649","2-isopropylmalate synthase [EC:2.3.3.13]",NA
"K05966","triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]",NA
"K13891","glutathione transport system permease protein",NA
"K00995","CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]",NA
"K04771","serine protease Do [EC:3.4.21.107]",NA
"K00666","fatty-acyl-CoA synthase [EC:6.2.1.-]",NA
"K01999","branched-chain amino acid transport system substrate-binding protein",NA
"K01997","branched-chain amino acid transport system permease protein",NA
"K15866","2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]",NA
"K01512","acylphosphatase [EC:3.6.1.7]",NA
"K04095","cell filamentation protein, protein adenylyltransferase [EC:2.7.7.108]",NA
"K22187","alpha-ketoglutaric semialdehyde dehydrogenase [EC:1.2.1.-]",NA
"K21430","aldose sugar dehydrogenase [EC:1.1.5.-]",NA
"K25570","8-amino-7-oxononanoate carboxylating dehydrogenase [EC:2.6.1.121]",NA
"K00652","8-amino-7-oxononanoate synthase [EC:2.3.1.47]",NA
"K10238","trehalose/maltose transport system permease protein",NA
"K10236","trehalose/maltose transport system substrate-binding protein",NA
"K01182","oligo-1,6-glucosidase [EC:3.2.1.10]",NA
"K25656","cryptochrome",NA
"K01652","acetolactate synthase I/II/III large subunit [EC:2.2.1.6]",NA
"K03284","magnesium transporter",NA
"K10907","aminotransferase [EC:2.6.1.-]",NA
"K03527","4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]",NA
"K02472","UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]",NA
"K09726","uncharacterized protein",NA
"K03442","small conductance mechanosensitive channel",NA
"K01193","beta-fructofuranosidase [EC:3.2.1.26]",NA
"K00692","levansucrase [EC:2.4.1.10]",NA
"K06377","sporulation-control protein",NA
"K05349","beta-glucosidase [EC:3.2.1.21]",NA
"K07776","two-component system, OmpR family, response regulator RegX3",NA
"K01191","alpha-mannosidase [EC:3.2.1.24]",NA
"K01192","beta-mannosidase [EC:3.2.1.25]",NA
"K01206","alpha-L-fucosidase [EC:3.2.1.51]",NA
"K07445","putative DNA methylase",NA
"K17315","glucose/mannose transport system substrate-binding protein",NA
"K00937","polyphosphate kinase [EC:2.7.4.1]",NA
"K09121","pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]",NA
"K07668","two-component system, OmpR family, response regulator VicR",NA
"K10254","oleate hydratase [EC:4.2.1.53]",NA
"K02028","polar amino acid transport system ATP-binding protein [EC:7.4.2.1]",NA
"K10009","L-cystine transport system permease protein",NA
"K06153","undecaprenyl-diphosphatase [EC:3.6.1.27]",NA
"K15975","glyoxalase family protein",NA
"K07113","UPF0716 protein FxsA",NA
"K05802","potassium-dependent mechanosensitive channel",NA
"K12373","hexosaminidase [EC:3.2.1.52]",NA
"K00287","dihydrofolate reductase [EC:1.5.1.3]",NA
"K02019","molybdate transport system regulatory protein",NA
"K03933","chitin-binding protein",NA
"K03707","thiaminase (transcriptional activator TenA) [EC:3.5.99.2]",NA
"K01687","dihydroxy-acid dehydratase [EC:4.2.1.9]",NA
"K28013","ornithine cyclodeaminase [EC:4.3.1.12]",NA
"K07244","mgtE-like transporter",NA
"K00587","protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]",NA
"K01625","2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]",NA
"K06919","putative DNA primase/helicase",NA
"K05770","translocator protein",NA
"K23107","1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-]",NA
"K06898","pyridinium-3,5-biscarboxylic acid mononucleotide synthase [EC:2.5.1.143]",NA
"K03431","phosphoglucosamine mutase [EC:5.4.2.10]",NA
"K03661","V-type H+-transporting ATPase 21kDa proteolipid subunit",NA
"K01972","DNA ligase (NAD+) [EC:6.5.1.2]",NA
"K06911","quercetin 2,3-dioxygenase [EC:1.13.11.24]",NA
"K00368","nitrite reductase (NO-forming) [EC:1.7.2.1]",NA
"K06864","cysteine-dependent pyridinium-3,5-bisthiocarboxylic acid mononucleotide synthase [EC:4.4.1.37 4.4.1.45]",NA
"K03821","poly[(R)-3-hydroxyalkanoate] polymerase subunit PhaC [EC:2.3.1.304]",NA
"K08003","matrix metalloproteinase-25 (membrane-inserted) [EC:3.4.24.-]",NA
"K05826","alpha-aminoadipate/glutamate carrier protein LysW",NA
"K05829","[amino group carrier protein]-6-phospho-L-2-aminoadipate/5-phospho-L-glutamate reductase [EC:1.2.1.103 1.2.1.106]",NA
"K05828","[amino group carrier protein]-L-2-aminoadipate/L-glutamate 6-kinase [EC:2.7.2.17 2.7.2.19]",NA
"K05830","[amino-group carrier protein]-gamma-(L-lysyl/L-ornithyl)-L-glutamate aminotransferase [EC:2.6.1.118 2.6.1.124]",NA
"K05831","[amino group carrier protein]-lysine/ornithine hydrolase [EC:3.5.1.130 3.5.1.132]",NA
"K02027","multiple sugar transport system substrate-binding protein",NA
"K02025","multiple sugar transport system permease protein",NA
"K02026","multiple sugar transport system permease protein",NA
"K09822","uncharacterized protein",NA
"K09966","uncharacterized protein",NA
"K08970","nickel/cobalt transporter (NicO) family protein",NA
"K00219","2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]",NA
"K00167","2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]",NA
"K00134","glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]",NA
"K01495","GTP cyclohydrolase IA [EC:3.5.4.16]",NA
"K13936","malonate transporter and related proteins",NA
"K00788","thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]",NA
"K07218","nitrous oxidase accessory protein",NA
"K00320","5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]",NA
"K15510","coenzyme F420-dependent glucose-6-phosphate dehydrogenase [EC:1.1.98.2]",NA
"K00140","malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]",NA
"K01438","acetylornithine deacetylase [EC:3.5.1.16]",NA
"K26978","zinc finger protein 526/574",NA
"K21147","sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-]",NA
"K05275","pyridoxine 4-dehydrogenase [EC:1.1.1.65]",NA
"K00067","dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]",NA
"K15736","(S)-2-hydroxyglutarate dehydrogenase [EC:1.1.5.13]",NA
"K01473","N-methylhydantoinase A [EC:3.5.2.14]",NA
"K01474","N-methylhydantoinase B [EC:3.5.2.14]",NA
"K00102","D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]",NA
"K03626","nascent polypeptide-associated complex subunit alpha",NA
"K01207","beta-N-acetylhexosaminidase [EC:3.2.1.52]",NA
"K00674","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]",NA
"K01586","diaminopimelate decarboxylase [EC:4.1.1.20]",NA
"K07100","putative phosphoribosyl transferase",NA
"K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",NA
"K01434","penicillin G amidase [EC:3.5.1.11]",NA
"K20074","PPM family protein phosphatase [EC:3.1.3.16]",NA
"K01791","UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]",NA
"K00560","thymidylate synthase [EC:2.1.1.45]",NA
"K24180","malate permease and related proteins",NA
"K02347","DNA polymerase (family X)",NA
"K02319","DNA polymerase, archaea type [EC:2.7.7.7]",NA
"K09744","uncharacterized protein",NA
"K01601","ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]",NA
"K18121","glyoxylate/succinic semialdehyde reductase [EC:1.1.1.79 1.1.1.-]",NA
"K01476","arginase [EC:3.5.3.1]",NA
"K12410","NAD-dependent protein deacetylase/lipoamidase [EC:2.3.1.286 2.3.1.313]",NA
"K05520","deglycase [EC:3.5.1.124]",NA
"K27475","ketohexokinase [EC:2.7.1.3]",NA
"K00882","1-phosphofructokinase [EC:2.7.1.56]",NA
"K01704","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]",NA
"K01703","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]",NA
"K01262","Xaa-Pro aminopeptidase [EC:3.4.11.9]",NA
"K07404","6-phosphogluconolactonase [EC:3.1.1.31]",NA
"K00313","electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]",NA
"K13628","iron-sulfur cluster assembly protein",NA
"K00370","nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]",NA
"K03890","quinol---cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]",NA
"K02510","4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]",NA
"K06223","DNA adenine methylase [EC:2.1.1.72]",NA
"K00161","pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]",NA
"K04748","nitric oxide reductase NorQ protein",NA
"K12132","eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]",NA
"K01727","hyaluronate lyase [EC:4.2.2.1]",NA
"K12111","evolved beta-galactosidase subunit alpha [EC:3.2.1.23]",NA
"K18581","unsaturated chondroitin disaccharide hydrolase [EC:3.2.1.180]",NA
"K11529","glycerate 2-kinase [EC:2.7.1.165]",NA
"K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA
"K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]",NA
"K17218","sulfide:quinone oxidoreductase [EC:1.8.5.4]",NA
"K07090","uncharacterized protein",NA
"K08711","ATP-binding cassette, subfamily G (WHITE), member 2, PDR",NA
"K03335","inosose dehydratase [EC:4.2.1.44]",NA
"K16898","ATP-dependent helicase/nuclease subunit A [EC:5.6.2.4 3.1.-.-]",NA
"K04751","nitrogen regulatory protein P-II 1",NA
"K07378","neuroligin",NA
"K00339","NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]",NA
"K15171","transcription elongation factor SPT4",NA
"K07158","uncharacterized protein",NA
"K17865","3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]",NA
"K07058","membrane protein",NA
"K04486","histidinol-phosphatase (PHP family) [EC:3.1.3.15]",NA
"K01176","alpha-amylase [EC:3.2.1.1]",NA
"K07069","uncharacterized protein",NA
"K06878","tRNA-binding protein",NA
"K13110","pre-mRNA-splicing factor MFAP1/SPP381",NA
"K13641","IclR family transcriptional regulator, acetate operon repressor",NA
"K02614","acyl-CoA thioesterase [EC:3.1.2.-]",NA
"K03188","urease accessory protein",NA
"K01430","urease subunit gamma [EC:3.5.1.5]",NA
"K11960","urea transport system permease protein",NA
"K27923","IclR family transcriptional regulator, msc operon activator",NA
"K02770","fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]",NA
"K01938","formate--tetrahydrofolate ligase [EC:6.3.4.3]",NA
"K07322","regulator of cell morphogenesis and NO signaling",NA
"K03518","aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]",NA
"K03328","polysaccharide transporter, PST family",NA
"K07228","K+:H+ antiporter subunit KhtT",NA
"K09736","uncharacterized protein",NA
"K05773","tungstate transport system permease protein",NA
"K03423","bis-gamma-glutamylcystine reductase [EC:1.8.1.13]",NA
"K17316","glucose/mannose transport system permease protein",NA
"K07001","NTE family protein",NA
"K21990","formate-nitrite transporter family protein",NA
"K00001","alcohol dehydrogenase [EC:1.1.1.1]",NA
"K04719","5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]",NA
"K02030","polar amino acid transport system substrate-binding protein",NA
"K02029","polar amino acid transport system permease protein",NA
"K03553","recombination protein RecA",NA
"K14611","solute carrier family 23 (nucleobase transporter), member 1",NA
"K11000","callose synthase [EC:2.4.1.-]",NA
"K12369","dipeptide transport system permease protein",NA
"K02008","cobalt/nickel transport system permease protein",NA
"K06639","cell division cycle 14 [EC:3.1.3.16 3.1.3.48]",NA
"K00124","formate dehydrogenase iron-sulfur subunit",NA
"K01912","phenylacetate-CoA ligase [EC:6.2.1.30]",NA
"K09714","HTH-type transcriptional regulator, fmd operon transcriptional regulator",NA
"K14259","2-dehydro-3-deoxy-D-arabinonate dehydratase [EC:4.2.1.141]",NA
"K00249","acyl-CoA dehydrogenase [EC:1.3.8.7]",NA
"K02611","ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]",NA
"K03926","periplasmic divalent cation tolerance protein",NA
"K23398","activating signal cointegrator 1",NA
"K22502","lycopene beta-cyclase [EC:5.5.1.19]",NA
"K01777","proline racemase [EC:5.1.1.4]",NA
"K18663","activating signal cointegrator complex subunit 3 [EC:5.6.2.4]",NA
"K01560","2-haloacid dehalogenase [EC:3.8.1.2]",NA
"K07104","catechol 2,3-dioxygenase [EC:1.13.11.2]",NA
"K02168","choline/glycine/proline betaine transport protein",NA
"K03189","urease accessory protein",NA
"K07089","uncharacterized protein",NA
"K03453","bile acid:Na+ symporter, BASS family",NA
"K05772","tungstate transport system substrate-binding protein",NA
"K15772","arabinogalactan oligomer / maltooligosaccharide transport system permease protein",NA
"K01429","urease subunit beta [EC:3.5.1.5]",NA
"K06162","alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase [EC:3.6.1.63]",NA
"K16785","energy-coupling factor transport system permease protein",NA
"K08482","circadian clock protein KaiC",NA
"K00376","nitrous-oxide reductase [EC:1.7.2.4]",NA
"K03303","lactate permease",NA
"K02784","phosphocarrier protein HPr",NA
"K01537","P-type Ca2+ transporter type 2C [EC:7.2.2.10]",NA
"K00008","L-iditol 2-dehydrogenase [EC:1.1.1.14]",NA
"K02609","ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]",NA
"K07559","putative RNA 2'-phosphotransferase [EC:2.7.1.-]",NA
"K06016","beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]",NA
"K06015","N-acyl-D-amino-acid deacylase [EC:3.5.1.81]",NA
"K26732","K+:H+ antiporter subunit KhtU",NA
"K11085","ATP-binding cassette, subfamily B, bacterial MsbA [EC:7.5.2.6]",NA
"K13010","perosamine synthetase [EC:2.6.1.102]",NA
"K00309","dimethylglycine oxidase [EC:1.5.3.10]",NA
"K03187","urease accessory protein",NA
"K11963","urea transport system ATP-binding protein",NA
"K01552","energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]",NA
"K01439","succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]",NA
"K10227","polyol transport system substrate-binding protein",NA
"K24998","dehydro coenzyme F420 reductase / coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:1.3.8.17 6.3.2.31 6.3.2.34]",NA
"K03738","aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]",NA
"K00123","formate dehydrogenase major subunit [EC:1.17.1.9]",NA
"K18382","NAD+-dependent secondary alcohol dehydrogenase Adh1 [EC:1.1.1.-]",NA
"K25316","amino-acid racemase [EC:5.1.1.10]",NA
"K26605","branched chain amino acid efflux pump",NA
"K00705","4-alpha-glucanotransferase [EC:2.4.1.25]",NA
"K19282","bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30]",NA
"K00662","aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]",NA
"K00830","alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]",NA
"K17285","methanethiol oxidase [EC:1.8.3.4]",NA
"K07454","putative restriction endonuclease",NA
"K01178","glucoamylase [EC:3.2.1.3]",NA
"K06998","trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]",NA
"K01187","alpha-glucosidase [EC:3.2.1.20]",NA
"K06200","carbon starvation protein",NA
"K02575","MFS transporter, NNP family, nitrate/nitrite transporter",NA
"K00372","assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]",NA
"K09119","KEOPS complex subunit Cgi121",NA
"K06118","UDP-sulfoquinovose synthase [EC:3.13.1.1]",NA
"K00697","trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]",NA
"K23518","O-acetyl-ADP-ribose deacetylase [EC:3.1.1.106]",NA
"K22844","glucosyl-dolichyl phosphate glucuronosyltransferase [EC:2.4.1.356]",NA
"K00019","3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]",NA
"K19281","beta-methylmalyl-CoA/(S)-malyl-CoA lyase [EC:4.1.3.24]",NA
"K23252","dolichol phosphate-mannose mannosyltransferase [EC:2.4.1.-]",NA
"K15342","CRISP-associated protein Cas1",NA
"K03658","DNA helicase IV [EC:5.6.2.4]",NA
"K01008","selenide, water dikinase [EC:2.7.9.3]",NA
"K07402","xanthine dehydrogenase accessory factor",NA
"K01464","dihydropyrimidinase [EC:3.5.2.2]",NA
"K10252","beta,beta-carotene 9',10'-dioxygenase [EC:1.13.11.71]",NA
"K00335","NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]",NA
"K01501","nitrilase [EC:3.5.5.1]",NA
"K00297","methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]",NA
"K08483","phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]",NA
"K18929","L-lactate dehydrogenase complex protein LldF",NA
"K00782","L-lactate dehydrogenase complex protein LldG",NA
"K01628","L-fuculose-phosphate aldolase [EC:4.1.2.17]",NA
"K00848","rhamnulokinase [EC:2.7.1.5]",NA
"K11962","urea transport system ATP-binding protein",NA
"K11961","urea transport system permease protein",NA
"K11959","urea transport system substrate-binding protein",NA
"K01428","urease subunit alpha [EC:3.5.1.5]",NA
"K03190","urease accessory protein",NA
"K19342","copper chaperone NosL",NA
"K07249","retinal dehydrogenase [EC:1.2.1.36]",NA
"K09732","uncharacterized protein",NA
